AGE,Base Salary,CUM YEARLY CASH,Cap Hit,Dead,Dead Cap,Misc.,Option,PLAYER,Restructure,Roster,Roster Bonus,Signing,Signing Bonus,TEAM,Workout,Workout Bonus,YEAR,Yearly Cash
28,"$1,000,000","$11,000,000","$4,200,000",,"$4,800,000",,,Chris Boswell,-,"$2,000,000",,"$1,200,000",,Steelers,,,2019,"$3,000,000"
29,"$910,000","$13,375,000","$2,598,333",,"$5,065,000",,,Chris Boswell,"$488,333",-,,"$1,200,000",,Steelers,,,2020,"$2,375,000"
30,"$3,085,000","$16,460,000","$4,773,333",,"$3,376,667",,,Chris Boswell,"$488,333",-,,"$1,200,000",,Steelers,,,2021,"$3,085,000"
31,"$3,260,000","$19,720,000","$4,948,334",,"$1,688,334",,,Chris Boswell,"$488,334",-,,"$1,200,000",,Steelers,,,2022,"$3,260,000"
31,"$1,050,000","$11,050,000","$5,050,000",,"$11,200,000",,,Janoris Jenkins,,"$1,000,000",,"$3,000,000",,Saints,,,2020,"$11,050,000"
32,"$10,000,000","$22,250,000","$14,200,000",,"$7,200,000",,,Janoris Jenkins,,"$1,200,000",,"$3,000,000",,Saints,,,2021,"$11,200,000"
33,"$5,250,000","$28,000,000","$8,750,000",,"$3,000,000",,,Janoris Jenkins,,"$500,000",,"$3,000,000",,Saints,,,2022,"$5,750,000"
33,"$1,764,706","$3,213,489","$3,170,956",,-,,,Michael Bennett,,"$1,406,250",,,,Cowboys,,,2019,"$3,213,489"
34,"$7,000,000","$11,463,489","$8,250,000",,-,,,Michael Bennett,,"$1,250,000",,,,Cowboys,,,2020,"$8,250,000"
30,"$1,000,000","$6,591,481","$2,100,000",,"$8,500,000",,,Buster Skrine,,-,,"$1,100,000",,Bears,-,,2019,"$6,591,481"
31,"$4,650,000","$11,591,481","$6,100,000",,"$6,400,000",,,Buster Skrine,,"$250,000",,"$1,100,000",,Bears,"$100,000",,2020,"$5,000,000"
32,"$4,150,000","$16,591,481","$6,100,000",,"$3,300,000",,,Buster Skrine,,"$750,000",,"$1,100,000",,Bears,"$100,000",,2021,"$5,000,000"
33,-,,"$1,100,000",,-,,,Buster Skrine,,-,,"$1,100,000",,Bears,-,,2022,-
34,-,,"$1,100,000",,-,,,Buster Skrine,,-,,"$1,100,000",,Bears,-,,2023,-
30,"$1,750,000","$4,250,000","$4,250,000",,"$4,250,000",,,Demar Dotson,,"$2,500,000",,,,Buccaneers,-,,2016,"$4,250,000"
31,"$4,250,000","$8,550,000","$4,300,000",,"$4,300,000",,,Demar Dotson,,-,,,,Buccaneers,"$50,000",,2017,"$4,300,000"
